   index      lower edge     grid center      upper edge
       0       -0.364583     5.55112e-17        0.364583
       1        0.364583        0.729167         1.09375
       2         1.09375         1.45833         1.82292
       3         1.82292          2.1875         2.55208
       4         2.55208         2.91667         3.28125
       5         3.28125         3.64583         4.01042
       6         4.01042           4.375         4.73958
       7         4.73958         5.10417         5.46875
       8         5.46875         5.83333         6.19792
       9         6.19792          6.5625         6.92708
      10         6.92708         7.29167         7.65625
      11         7.65625         8.02083         8.38542
      12         8.38542            8.75         9.11458
      13         9.11458         9.47917         9.84375
      14         9.84375         10.2083         10.5729
      15         10.5729         10.9375         11.3021
      16         11.3021         11.6667         12.0313
      17         12.0312         12.3958         12.7604
      18         12.7604          13.125         13.4896
      19         13.4896         13.8542         14.2188
      20         14.2188         14.5833         14.9479
      21         14.9479         15.3125         15.6771
      22         15.6771         16.0417         16.4062
      23         16.4063         16.7708         17.1354
      24         17.1354            17.5         17.8646
      25         17.8646         18.2292         18.5938
      26         18.5938         18.9583         19.3229
      27         19.3229         19.6875         20.0521
      28         20.0521         20.4167         20.7812
      29         20.7813         21.1458         21.5104
      30         21.5104          21.875         22.2396
      31         22.2396         22.6042         22.9688
      32         22.9688         23.3333         23.6979
      33         23.6979         24.0625         24.4271
      34         24.4271         24.7917         25.1562
      35         25.1563         25.5208         25.8854
      36         25.8854           26.25         26.6146
      37         26.6146         26.9792         27.3438
      38         27.3438         27.7083         28.0729
      39         28.0729         28.4375         28.8021
      40         28.8021         29.1667         29.5313
      41         29.5313         29.8958         30.2604
      42         30.2604          30.625         30.9896
      43         30.9896         31.3542         31.7188
      44         31.7188         32.0833         32.4479
      45         32.4479         32.8125         33.1771
      46         33.1771         33.5417         33.9063
      47         33.9062         34.2708         34.6354
      48         34.6354              35         35.3646
