   index      lower edge     grid center      upper edge
       0         12.1094            12.5         12.8906
       1         12.8906         13.2812         13.6719
       2         13.6719         14.0625         14.4531
       3         14.4531         14.8438         15.2344
       4         15.2344          15.625         16.0156
       5         16.0156         16.4062         16.7969
       6         16.7969         17.1875         17.5781
       7         17.5781         17.9688         18.3594
       8         18.3594           18.75         19.1406
       9         19.1406         19.5312         19.9219
      10         19.9219         20.3125         20.7031
      11         20.7031         21.0938         21.4844
      12         21.4844          21.875         22.2656
      13         22.2656         22.6562         23.0469
      14         23.0469         23.4375         23.8281
      15         23.8281         24.2188         24.6094
      16         24.6094              25         25.3906
      17         25.3906         25.7812         26.1719
      18         26.1719         26.5625         26.9531
      19         26.9531         27.3438         27.7344
      20         27.7344          28.125         28.5156
      21         28.5156         28.9062         29.2969
      22         29.2969         29.6875         30.0781
      23         30.0781         30.4688         30.8594
      24         30.8594           31.25         31.6406
      25         31.6406         32.0312         32.4219
      26         32.4219         32.8125         33.2031
      27         33.2031         33.5938         33.9844
      28         33.9844          34.375         34.7656
      29         34.7656         35.1562         35.5469
      30         35.5469         35.9375         36.3281
      31         36.3281         36.7188         37.1094
      32         37.1094            37.5         37.8906
      33         37.8906         38.2812         38.6719
      34         38.6719         39.0625         39.4531
      35         39.4531         39.8438         40.2344
      36         40.2344          40.625         41.0156
      37         41.0156         41.4062         41.7969
      38         41.7969         42.1875         42.5781
      39         42.5781         42.9688         43.3594
      40         43.3594           43.75         44.1406
      41         44.1406         44.5312         44.9219
      42         44.9219         45.3125         45.7031
      43         45.7031         46.0938         46.4844
      44         46.4844          46.875         47.2656
      45         47.2656         47.6562         48.0469
      46         48.0469         48.4375         48.8281
      47         48.8281         49.2188         49.6094
      48         49.6094              50         50.3906
      49         50.3906         50.7812         51.1719
      50         51.1719         51.5625         51.9531
      51         51.9531         52.3438         52.7344
      52         52.7344          53.125         53.5156
      53         53.5156         53.9062         54.2969
      54         54.2969         54.6875         55.0781
      55         55.0781         55.4688         55.8594
      56         55.8594           56.25         56.6406
      57         56.6406         57.0312         57.4219
      58         57.4219         57.8125         58.2031
      59         58.2031         58.5938         58.9844
      60         58.9844          59.375         59.7656
      61         59.7656         60.1562         60.5469
      62         60.5469         60.9375         61.3281
      63         61.3281         61.7188         62.1094
      64         62.1094            62.5         62.8906
