   index      lower edge     grid center      upper edge
       0       -0.729167    -2.22045e-16        0.729167
       1        0.729167         1.45833          2.1875
       2          2.1875         2.91667         3.64583
       3         3.64583           4.375         5.10417
       4         5.10417         5.83333          6.5625
       5          6.5625         7.29167         8.02083
       6         8.02083            8.75         9.47917
       7         9.47917         10.2083         10.9375
       8         10.9375         11.6667         12.3958
       9         12.3958          13.125         13.8542
      10         13.8542         14.5833         15.3125
      11         15.3125         16.0417         16.7708
      12         16.7708            17.5         18.2292
      13         18.2292         18.9583         19.6875
      14         19.6875         20.4167         21.1458
      15         21.1458          21.875         22.6042
      16         22.6042         23.3333         24.0625
      17         24.0625         24.7917         25.5208
      18         25.5208           26.25         26.9792
      19         26.9792         27.7083         28.4375
      20         28.4375         29.1667         29.8958
      21         29.8958          30.625         31.3542
      22         31.3542         32.0833         32.8125
      23         32.8125         33.5417         34.2708
      24         34.2708              35         35.7292
