   index      lower edge     grid center      upper edge
       0         10.9375            12.5         14.0625
       1         14.0625          15.625         17.1875
       2         17.1875           18.75         20.3125
       3         20.3125          21.875         23.4375
       4         23.4375              25         26.5625
       5         26.5625          28.125         29.6875
       6         29.6875           31.25         32.8125
       7         32.8125          34.375         35.9375
       8         35.9375            37.5         39.0625
       9         39.0625          40.625         42.1875
      10         42.1875           43.75         45.3125
      11         45.3125          46.875         48.4375
      12         48.4375              50         51.5625
      13         51.5625          53.125         54.6875
      14         54.6875           56.25         57.8125
      15         57.8125          59.375         60.9375
      16         60.9375            62.5         64.0625
