i 	 j 	 Cov mean 	 Cov std 
0 	 0 	 -1.680e-06 	 9.876e-09 
0 	 1 	 2.747e-07 	 5.060e-09 
0 	 2 	 3.405e-08 	 6.309e-09 
0 	 3 	 8.051e-09 	 3.207e-09 
0 	 4 	 5.268e-09 	 3.856e-09 
0 	 5 	 3.521e-09 	 6.952e-09 
0 	 6 	 4.112e-09 	 6.121e-09 
0 	 7 	 2.671e-09 	 3.186e-09 
0 	 8 	 -1.667e-10 	 1.639e-09 
1 	 0 	 9.828e-08 	 5.522e-09 
1 	 1 	 6.433e-08 	 2.244e-09 
1 	 2 	 2.293e-08 	 3.654e-09 
1 	 3 	 8.055e-09 	 5.327e-09 
1 	 4 	 3.070e-09 	 2.652e-09 
1 	 5 	 1.775e-10 	 6.034e-09 
1 	 6 	 7.829e-10 	 4.370e-09 
1 	 7 	 2.211e-10 	 3.014e-09 
1 	 8 	 -1.871e-09 	 4.208e-09 
2 	 0 	 2.797e-08 	 5.210e-09 
2 	 1 	 1.923e-08 	 8.048e-09 
2 	 2 	 9.687e-09 	 3.276e-09 
2 	 3 	 2.598e-09 	 3.738e-09 
2 	 4 	 1.361e-09 	 4.177e-09 
2 	 5 	 2.203e-09 	 2.657e-09 
2 	 6 	 3.071e-09 	 4.039e-09 
2 	 7 	 2.029e-09 	 3.676e-09 
2 	 8 	 5.495e-10 	 3.563e-09 
3 	 0 	 9.971e-09 	 2.925e-09 
3 	 1 	 7.018e-09 	 5.176e-09 
3 	 2 	 6.591e-09 	 5.212e-09 
3 	 3 	 5.222e-09 	 5.736e-09 
3 	 4 	 2.339e-09 	 3.065e-09 
3 	 5 	 2.255e-09 	 2.999e-09 
3 	 6 	 7.659e-10 	 2.622e-09 
3 	 7 	 -1.012e-09 	 3.664e-09 
3 	 8 	 -1.638e-09 	 4.452e-09 
4 	 0 	 6.839e-09 	 3.727e-09 
4 	 1 	 3.410e-09 	 4.482e-09 
4 	 2 	 4.172e-09 	 3.296e-09 
4 	 3 	 6.965e-10 	 5.142e-09 
4 	 4 	 1.366e-09 	 2.241e-09 
4 	 5 	 -6.447e-10 	 6.817e-09 
4 	 6 	 1.209e-09 	 4.109e-09 
4 	 7 	 2.439e-09 	 4.018e-09 
4 	 8 	 7.985e-10 	 4.860e-09 
5 	 0 	 5.474e-10 	 4.961e-09 
5 	 1 	 1.686e-09 	 3.892e-09 
5 	 2 	 -1.006e-09 	 4.721e-09 
5 	 3 	 1.278e-09 	 3.219e-09 
5 	 4 	 2.838e-09 	 6.338e-09 
5 	 5 	 -5.885e-11 	 3.051e-09 
5 	 6 	 -6.885e-10 	 5.120e-09 
5 	 7 	 -1.180e-09 	 7.302e-09 
5 	 8 	 1.505e-10 	 2.860e-09 
6 	 0 	 -1.499e-09 	 6.274e-09 
6 	 1 	 3.201e-09 	 8.143e-09 
6 	 2 	 1.000e-09 	 2.434e-09 
6 	 3 	 5.350e-10 	 6.081e-09 
6 	 4 	 -6.159e-10 	 3.770e-09 
6 	 5 	 8.306e-10 	 5.132e-09 
6 	 6 	 1.671e-09 	 4.554e-09 
6 	 7 	 -4.574e-10 	 2.552e-09 
6 	 8 	 1.532e-09 	 3.036e-09 
7 	 0 	 -1.580e-10 	 2.403e-09 
7 	 1 	 5.257e-10 	 4.560e-09 
7 	 2 	 1.971e-09 	 5.302e-09 
7 	 3 	 -8.357e-10 	 5.651e-09 
7 	 4 	 -1.164e-10 	 6.905e-09 
7 	 5 	 1.102e-09 	 4.045e-09 
7 	 6 	 1.313e-09 	 6.079e-09 
7 	 7 	 -3.955e-10 	 1.801e-09 
7 	 8 	 -1.197e-09 	 5.176e-09 
8 	 0 	 -4.579e-09 	 8.475e-09 
8 	 1 	 1.082e-09 	 3.868e-09 
8 	 2 	 1.131e-09 	 7.471e-09 
8 	 3 	 4.816e-11 	 4.648e-09 
8 	 4 	 -3.556e-10 	 1.766e-09 
8 	 5 	 -7.657e-10 	 3.908e-09 
8 	 6 	 -1.838e-09 	 4.423e-09 
8 	 7 	 -7.651e-10 	 9.470e-09 
8 	 8 	 5.513e-11 	 3.772e-09 
