i 	 j 	 Cov mean 	 Cov std 
0 	 0 	 -1.044e-06 	 1.454e-08 
0 	 1 	 1.761e-07 	 1.206e-08 
0 	 2 	 2.216e-08 	 6.027e-09 
0 	 3 	 5.300e-09 	 9.959e-09 
0 	 4 	 1.493e-09 	 1.170e-08 
0 	 5 	 3.740e-09 	 1.868e-08 
0 	 6 	 5.648e-10 	 1.084e-08 
0 	 7 	 -4.203e-10 	 5.048e-09 
0 	 8 	 9.091e-11 	 1.105e-08 
1 	 0 	 7.245e-08 	 1.061e-08 
1 	 1 	 4.347e-08 	 8.110e-09 
1 	 2 	 1.279e-08 	 2.045e-08 
1 	 3 	 5.211e-09 	 1.044e-08 
1 	 4 	 2.137e-09 	 1.266e-08 
1 	 5 	 1.394e-09 	 8.897e-09 
1 	 6 	 1.207e-09 	 1.697e-08 
1 	 7 	 -6.597e-10 	 6.649e-09 
1 	 8 	 1.158e-09 	 6.355e-09 
2 	 0 	 2.264e-08 	 1.079e-08 
2 	 1 	 1.311e-08 	 1.446e-08 
2 	 2 	 5.554e-09 	 7.301e-09 
2 	 3 	 3.224e-09 	 1.152e-08 
2 	 4 	 8.026e-10 	 1.438e-08 
2 	 5 	 1.289e-09 	 1.538e-08 
2 	 6 	 1.114e-09 	 5.691e-09 
2 	 7 	 1.530e-10 	 1.633e-08 
2 	 8 	 1.096e-09 	 9.509e-09 
3 	 0 	 3.054e-09 	 8.820e-09 
3 	 1 	 6.082e-09 	 1.196e-08 
3 	 2 	 2.615e-09 	 1.248e-08 
3 	 3 	 1.670e-09 	 1.012e-08 
3 	 4 	 2.447e-09 	 9.411e-09 
3 	 5 	 2.573e-09 	 7.350e-09 
3 	 6 	 -6.023e-10 	 1.431e-08 
3 	 7 	 -7.271e-10 	 1.475e-08 
3 	 8 	 -1.898e-09 	 1.185e-08 
4 	 0 	 3.025e-09 	 1.487e-08 
4 	 1 	 8.427e-10 	 1.127e-08 
4 	 2 	 1.436e-09 	 7.523e-09 
4 	 3 	 1.373e-09 	 1.893e-08 
4 	 4 	 -2.335e-10 	 8.907e-09 
4 	 5 	 2.874e-09 	 1.094e-08 
4 	 6 	 8.977e-10 	 1.307e-08 
4 	 7 	 -1.925e-09 	 9.835e-09 
4 	 8 	 -1.270e-09 	 2.090e-08 
5 	 0 	 -7.028e-09 	 1.517e-08 
5 	 1 	 1.902e-09 	 1.018e-08 
5 	 2 	 1.849e-09 	 5.423e-09 
5 	 3 	 -6.746e-11 	 1.157e-08 
5 	 4 	 -1.969e-09 	 7.875e-09 
5 	 5 	 3.810e-09 	 4.603e-09 
5 	 6 	 -3.731e-10 	 2.187e-08 
5 	 7 	 -2.506e-11 	 6.124e-09 
5 	 8 	 1.946e-09 	 1.206e-08 
6 	 0 	 1.351e-09 	 4.917e-09 
6 	 1 	 5.150e-11 	 1.202e-08 
6 	 2 	 -1.426e-09 	 1.139e-08 
6 	 3 	 -5.065e-10 	 1.525e-08 
6 	 4 	 2.834e-10 	 5.355e-09 
6 	 5 	 1.926e-09 	 6.183e-09 
6 	 6 	 -1.720e-10 	 9.513e-09 
6 	 7 	 -2.716e-09 	 1.536e-08 
6 	 8 	 -1.328e-09 	 1.844e-08 
7 	 0 	 6.148e-12 	 7.970e-09 
7 	 1 	 5.076e-10 	 1.224e-08 
7 	 2 	 -1.016e-09 	 1.284e-08 
7 	 3 	 -2.234e-10 	 3.614e-09 
7 	 4 	 -2.590e-09 	 1.040e-08 
7 	 5 	 2.169e-09 	 1.466e-08 
7 	 6 	 9.102e-10 	 8.926e-09 
7 	 7 	 -2.253e-09 	 1.716e-08 
7 	 8 	 1.007e-10 	 1.104e-08 
8 	 0 	 4.764e-09 	 1.630e-08 
8 	 1 	 -1.476e-09 	 7.474e-09 
8 	 2 	 -1.864e-09 	 1.155e-08 
8 	 3 	 -1.725e-10 	 1.068e-08 
8 	 4 	 -1.605e-09 	 1.320e-08 
8 	 5 	 1.246e-09 	 1.088e-08 
8 	 6 	 1.550e-09 	 1.410e-08 
8 	 7 	 -2.071e-09 	 1.947e-08 
8 	 8 	 9.012e-10 	 2.376e-08 
