Vpl(V) 	 Vph(V) 	 Sat level (e-) 
-8.0 	 0.0 	 118842.8 
-8.0 	 0.5 	 133699.9 
-8.0 	 1.0 	 149037.2 
-8.0 	 1.5 	 165876.0 
-8.0 	 2.0 	 182364.2 
-8.0 	 2.5 	 201725.6 
-8.0 	 3.0 	 220943.5 
-8.0 	 3.5 	 226656.7 
-8.0 	 4.0 	 225089.0 
-8.0 	 4.5 	 223871.9 
-8.0 	 5.0 	 226711.9 
-6.0 	 0.0 	 65442.4 
-6.0 	 0.5 	 76377.5 
-6.0 	 1.0 	 88364.2 
-6.0 	 1.5 	 100679.3 
-6.0 	 2.0 	 114305.4 
-6.0 	 2.5 	 129330.8 
-6.0 	 3.0 	 144265.2 
-6.0 	 3.5 	 161407.6 
-6.0 	 4.0 	 179057.8 
-6.0 	 4.5 	 197544.2 
-6.0 	 5.0 	 215666.4 
-4.0 	 0.0 	 24920.0 
-4.0 	 0.5 	 32926.8 
-4.0 	 1.0 	 42415.7 
-4.0 	 1.5 	 52867.8 
-4.0 	 2.0 	 63805.7 
-4.0 	 2.5 	 74768.4 
-4.0 	 3.0 	 86857.2 
-4.0 	 3.5 	 99351.7 
-4.0 	 4.0 	 113038.6 
-4.0 	 4.5 	 127854.2 
-4.0 	 5.0 	 143724.2 
-2.0 	 1.5 	 18685.2 
-2.0 	 2.0 	 24663.4 
-2.0 	 2.5 	 32614.9 
-2.0 	 3.0 	 42197.6 
-2.0 	 3.5 	 52448.3 
-2.0 	 4.0 	 63325.4 
-2.0 	 4.5 	 74376.5 
-2.0 	 5.0 	 86421.1 
